127.0.0.1, 2014-10-16 14:12:12, GET, /admin/default/index, HTTP/1.1, 200, 0.200000
127.0.0.1, 2014-10-16 14:12:18, POST, /admin/default/index, HTTP/1.1, 200, 0.096000
127.0.0.1, 2014-10-16 14:12:20, POST, /admin/default/index, HTTP/1.1, 303, 0.056000
127.0.0.1, 2014-10-16 14:12:21, GET, /admin/default/ticket/tatserver/127.0.0.1.2014-10-16.14-12-10.fe2cd3c4-aeb6-4b6e-b2f2-0f4d1c1165d3, HTTP/1.1, 200, 0.385000
127.0.0.1, 2014-10-16 14:12:21, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-10-16 14:12:48, POST, /tatserver/default/display, HTTP/1.1, 500, 0.057000
127.0.0.1, 2014-10-16 14:12:50, GET, /admin/default/ticket/tatserver/127.0.0.1.2014-10-16.14-12-48.0b869799-5f99-4033-bb43-0db5e00bc5e0, HTTP/1.1, 200, 0.076000
127.0.0.1, 2014-10-16 14:13:47, GET, /examples, HTTP/1.1, 200, 0.082000
127.0.0.1, 2014-10-16 14:13:48, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.024000
127.0.0.1, 2014-10-16 14:13:48, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.023000
127.0.0.1, 2014-10-16 14:13:48, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.025000
127.0.0.1, 2014-10-16 14:13:48, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.026000
127.0.0.1, 2014-10-16 14:13:48, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.025000
127.0.0.1, 2014-10-16 14:13:48, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-10-16 14:13:48, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.021000
127.0.0.1, 2014-10-16 14:13:48, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.020000
127.0.0.1, 2014-10-16 14:13:48, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-10-16 14:13:48, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-10-16 14:13:48, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-10-16 14:13:49, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.016000
127.0.0.1, 2014-10-16 14:13:49, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-10-16 14:13:49, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-10-16 14:13:49, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.009000
127.0.0.1, 2014-10-16 14:13:49, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-10-16 14:13:49, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-10-16 14:13:49, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-10-16 14:13:49, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.012000
127.0.0.1, 2014-10-16 14:13:49, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.020000
127.0.0.1, 2014-10-16 14:14:11, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.044000
